"NOTE: There are 5 artists with full bios and multiple works. They are marked in red. You must use at least 3 of those artists for your detailed artist pages.
Click the ""Works"" tab to see details of the artworks.",,,,,,
First,Last,workshop,degree,Website,Social,Thumbnail
Matthew,Abello,Animation & Video,Bachelor of Visual Arts,http://www.MatthewAbello.com,https://www.instagram.com/Matthew_Abello,Abello_M.jpg
Sanjana,Alex,Textiles,Bachelor of Visual Arts,http://www.SanjanaAlex.com,https://www.instagram.com/Sanjana_Alex,Alex_S.jpg
Christine,Appleby,Textiles,Bachelor of Visual Arts (Honours),http://www.ChristineAppleby.com,https://www.instagram.com/Christine_Appleby,Appleby_C.jpg
Rasheed,Araeen,Furniture,Bachelor of Visual Arts (Honours),https://www.grosvenorgallery.com/artists/50-rasheed-araeen/works/,https://www.instagram.com/Rasheed_Araeen,Rasheed_Araeen_2.jpg
Prajdnik,Awasthi,Animation & Video,Master of Digital Arts,http://www.PrajdnikAwasthi.com,https://www.instagram.com/Prajdnik_Awasthi,
Lucy,Baker,Ceramics,Bachelor of Visual Arts,http://www.LucyBaker.com,https://www.instagram.com/Lucy_Baker,Baker_Lucy.jpg
Rachel,Bilal,Sculpture & Spatial Practice,Bachelor of Visual Arts (Honours),http://www.RachelBilal.com,https://www.instagram.com/Rachel_Bilal,Bilal_Rachel.jpg
Tayla,Blewitt-Gray,Animation & Video,Bachelor of Visual Arts (Honours),http://www.TaylaBlewitt-Gray.com,https://www.instagram.com/Tayla_Blewitt-Gray,Blewitt-Gray_T.jpg
Martha,Bowman,Printmedia,Bachelor of Visual Arts,http://www.MarthaBowman.com,https://www.instagram.com/Martha_Bowman,Bowman_M_1.jpg
Jeremy,Brown,Furniture,Bachelor of Visual Arts (Honours),http://www.JeremyBrown.com,https://www.instagram.com/Jeremy_Brown,Brown_J_1.jpg
Mitchell,Burden,Photomedia,Bachelor of Visual Arts,http://www.MitchellBurden.com,https://www.instagram.com/Mitchell_Burden,Burden MB.jpg
Alexandra,Butler,Printmedia,Bachelor of Visual Arts (Honours),http://www.AlexandraButler.com,https://www.instagram.com/Alexandra_Butler,
Julia,Cameron,Photomedia,Bachelor of Visual Arts,http://www.JuliaCameron.com,https://www.instagram.com/Julia_Cameron,Cameron_ J.jpg
Tom,Campbell,Painting,Bachelor of Visual Arts,http://www.TomCampbell.com,https://www.instagram.com/Tom_Campbell,Campbell_Thomas.jpg
Madeline,Cardone,Glass,Bachelor of Visual Arts,http://www.MadelineCardone.com,https://www.instagram.com/Madeline_Cardone,CARDONE_M.jpg
Dana,Castle,Photomedia,Bachelor of Visual Arts,http://www.DanaCastle.com,https://www.instagram.com/Dana_Castle,Castle_D.jpg
Yimin,Cen,Printmedia,Master of Visual Arts,http://www.YiminCen.com,https://www.instagram.com/Yimin_Cen,Cen_untitled54.jpg
Sarah,Chapman,Textiles,Graduate Certificate of Arts,http://www.SarahChapman.com,https://www.instagram.com/Sarah_Chapman,chapman_s.jpg
Albert,Chessa,Photomedia,Bachelor of Visual Arts,http://www.AlbertChessa.com,https://www.instagram.com/Albert_Chessa,Chessa_A_1.jpg
Nikki,Chopra,Ceramics,Bachelor of Visual Arts,http://www.NikkiChopra.com,https://www.instagram.com/Nikki_Chopra,Chopra_N.jpg
Hayley,Clarke,Jewellery & Object,Bachelor of Visual Arts,http://www.HayleyClarke.com,https://www.instagram.com/Hayley_Clarke,Clarke_H_1.jpg
Angela,Coleman,Textiles,Bachelor of Visual Arts,http://www.AngelaColeman.com,https://www.instagram.com/Angela_Coleman,Coleman_A_1.jpg
Keziah,Craven,Sculpture & Spatial Practice,Bachelor of Visual Arts,http://www.KeziahCraven.com,https://www.instagram.com/Keziah_Craven,Craven_Keziah.jpg
Dean,Cross,Sculpture & Spatial Practice,Bachelor of Visual Arts (Honours),http://www.DeanCross.com,https://www.instagram.com/Dean_Cross,Cross_D.jpg
Ceilidh,Dalton,Jewellery & Object,Bachelor of Visual Arts,http://www.CeilidhDalton.com,https://www.instagram.com/Ceilidh_Dalton,Dalton_C.jpg
Talfryn,Davies,Painting,Bachelor of Visual Arts (Honours),http://www.TalfrynDavies.com,https://www.instagram.com/Talfryn_Davies,davies_T.jpg
Bryn,Davies,Printmedia,Bachelor of Visual Arts (Honours),http://www.BrynDavies.com,https://www.instagram.com/Bryn_Davies,Bryn_Davies.jpg
Gabrielle,De Rooy,Ceramics,Bachelor of Visual Arts,http://www.GabrielleDe Rooy.com,https://www.instagram.com/Gabrielle_De Rooy,DEROOY_G.jpg
Romany,Fairall,Painting,Bachelor of Visual Arts (Honours),http://www.RomanyFairall.com,https://www.instagram.com/Romany_Fairall,Romany_Fairall.jpg
Weiyao,Fang,Textiles,Bachelor of Visual Arts,http://www.WeiyaoFang.com,https://www.instagram.com/Weiyao_Fang,Fang_W.jpg
Frances,FitzGibbon,Glass,Bachelor of Visual Arts,http://www.FrancesFitzGibbon.com,https://www.instagram.com/Frances_FitzGibbon,FitzGibbon_F.jpg
Jessie,Fitzpatrick,Textiles,Bachelor of Visual Arts,http://www.JessieFitzpatrick.com,https://www.instagram.com/Jessie_Fitzpatrick,Fitzpatrick_J.jpg
Brian,Foong,Painting,Bachelor of Visual Arts,http://www.BrianFoong.com,https://www.instagram.com/Brian_Foong,Foong_BF.jpg
Alison,Ford,Painting,Bachelor of Visual Arts (Honours),http://www.AlisonFord.com,https://www.instagram.com/Alison_Ford,Ford_Alison.jpg
Sharon,Gallagher,Printmedia,Bachelor of Visual Arts (Honours),http://www.SharonGallagher.com,https://www.instagram.com/Sharon_Gallagher,Shags_1.jpg
